Date,Product,Category,Units_Sold,Price,Stock_Level,Revenue,Promotion,Day_Of_Week,Month
2025-01-01,Polo Shirt,Shirts,18,35,334,630,0,2,1
2025-01-02,Polo Shirt,Shirts,22,35,312,770,0,3,1
2025-01-03,Polo Shirt,Shirts,22,35,290,770,0,4,1
2025-01-04,Polo Shirt,Shirts,30,35,260,1050,0,5,1
2025-01-05,Polo Shirt,Shirts,25,35,235,875,0,6,1
2025-01-06,Polo Shirt,Shirts,20,35,215,700,0,0,1
2025-01-07,Polo Shirt,Shirts,14,35,201,490,0,1,1
2025-01-08,Polo Shirt,Shirts,24,35,177,840,0,2,1
2025-01-09,Polo Shirt,Shirts,20,35,157,700,0,3,1
2025-01-10,Polo Shirt,Shirts,19,35,138,665,0,4,1
2025-01-11,Polo Shirt,Shirts,25,35,113,875,0,5,1
2025-01-12,Polo Shirt,Shirts,29,35,84,1015,0,6,1
2025-01-13,Polo Shirt,Shirts,22,35,282,770,0,0,1
2025-01-14,Polo Shirt,Shirts,20,35,262,700,0,1,1
2025-01-15,Polo Shirt,Shirts,22,35,240,770,0,2,1
2025-01-16,Polo Shirt,Shirts,23,35,217,805,0,3,1
2025-01-17,Polo Shirt,Shirts,19,35,198,665,0,4,1
2025-01-18,Polo Shirt,Shirts,25,35,173,875,0,5,1
2025-01-19,Polo Shirt,Shirts,26,35,147,910,0,6,1
2025-01-20,Polo Shirt,Shirts,23,35,124,805,0,0,1
2025-01-21,Polo Shirt,Shirts,20,35,104,700,0,1,1
2025-01-22,Polo Shirt,Shirts,26,35,281,910,0,2,1
2025-01-23,Polo Shirt,Shirts,24,35,257,840,0,3,1
2025-01-24,Polo Shirt,Shirts,22,35,235,770,0,4,1
2025-01-25,Polo Shirt,Shirts,27,35,208,945,0,5,1
2025-01-26,Polo Shirt,Shirts,26,35,182,910,0,6,1
2025-01-27,Polo Shirt,Shirts,20,35,162,700,0,0,1
2025-01-28,Polo Shirt,Shirts,25,35,137,875,0,1,1
2025-01-29,Polo Shirt,Shirts,22,35,115,770,0,2,1
2025-01-30,Polo Shirt,Shirts,20,35,95,700,0,3,1
2025-01-31,Polo Shirt,Shirts,26,35,331,910,1,4,1
2025-02-01,Polo Shirt,Shirts,29,35,302,1015,0,5,2
2025-02-02,Polo Shirt,Shirts,30,35,272,1050,0,6,2
2025-02-03,Polo Shirt,Shirts,24,35,248,840,0,0,2
2025-02-04,Polo Shirt,Shirts,17,35,231,595,0,1,2
2025-02-05,Polo Shirt,Shirts,25,35,206,875,0,2,2
2025-02-06,Polo Shirt,Shirts,25,35,181,875,0,3,2
2025-02-07,Polo Shirt,Shirts,19,35,162,665,0,4,2
2025-02-08,Polo Shirt,Shirts,32,35,130,1120,1,5,2
2025-02-09,Polo Shirt,Shirts,27,35,103,945,0,6,2
2025-02-10,Polo Shirt,Shirts,26,35,379,910,0,0,2
2025-02-11,Polo Shirt,Shirts,23,35,356,805,0,1,2
2025-02-12,Polo Shirt,Shirts,21,35,335,735,0,2,2
2025-02-13,Polo Shirt,Shirts,19,35,316,665,0,3,2
2025-02-14,Polo Shirt,Shirts,36,35,280,1260,1,4,2
2025-02-15,Polo Shirt,Shirts,24,35,256,840,0,5,2
2025-02-16,Polo Shirt,Shirts,30,35,226,1050,0,6,2
2025-02-17,Polo Shirt,Shirts,28,35,198,980,0,0,2
2025-02-18,Polo Shirt,Shirts,33,35,165,1155,1,1,2
2025-02-19,Polo Shirt,Shirts,31,35,134,1085,1,2,2
2025-02-20,Polo Shirt,Shirts,20,35,114,700,0,3,2
2025-02-21,Polo Shirt,Shirts,21,35,93,735,0,4,2
2025-02-22,Polo Shirt,Shirts,30,35,390,1050,0,5,2
2025-02-23,Polo Shirt,Shirts,26,35,364,910,0,6,2
2025-02-24,Polo Shirt,Shirts,26,35,338,910,1,0,2
2025-02-25,Polo Shirt,Shirts,21,35,317,735,0,1,2
2025-02-26,Polo Shirt,Shirts,22,35,295,770,0,2,2
2025-02-27,Polo Shirt,Shirts,22,35,273,770,0,3,2
2025-02-28,Polo Shirt,Shirts,17,35,256,595,0,4,2
2025-03-01,Polo Shirt,Shirts,26,35,230,910,0,5,3
2025-03-02,Polo Shirt,Shirts,27,35,203,945,0,6,3
2025-03-03,Polo Shirt,Shirts,23,35,180,805,0,0,3
2025-03-04,Polo Shirt,Shirts,22,35,158,770,0,1,3
2025-03-05,Polo Shirt,Shirts,28,35,130,980,1,2,3
2025-03-06,Polo Shirt,Shirts,16,35,114,560,0,3,3
2025-03-07,Polo Shirt,Shirts,21,35,93,735,0,4,3
2025-03-08,Polo Shirt,Shirts,27,35,319,945,0,5,3
2025-03-09,Polo Shirt,Shirts,34,35,285,1190,0,6,3
2025-03-10,Polo Shirt,Shirts,26,35,259,910,0,0,3
2025-03-11,Polo Shirt,Shirts,25,35,234,875,0,1,3
2025-03-12,Polo Shirt,Shirts,28,35,206,980,0,2,3
2025-03-13,Polo Shirt,Shirts,25,35,181,875,0,3,3
2025-03-14,Polo Shirt,Shirts,24,35,157,840,0,4,3
2025-03-15,Polo Shirt,Shirts,25,35,132,875,0,5,3
2025-03-16,Polo Shirt,Shirts,39,35,93,1365,1,6,3
2025-03-17,Polo Shirt,Shirts,20,35,396,700,0,0,3
2025-03-18,Polo Shirt,Shirts,24,35,372,840,0,1,3
2025-03-19,Polo Shirt,Shirts,23,35,349,805,0,2,3
2025-03-20,Polo Shirt,Shirts,24,35,325,840,0,3,3
2025-03-21,Polo Shirt,Shirts,23,35,302,805,0,4,3
2025-03-22,Polo Shirt,Shirts,27,35,275,945,0,5,3
2025-03-23,Polo Shirt,Shirts,29,35,246,1015,0,6,3
2025-03-24,Polo Shirt,Shirts,25,35,221,875,0,0,3
2025-03-25,Polo Shirt,Shirts,24,35,197,840,0,1,3
2025-03-26,Polo Shirt,Shirts,18,35,179,630,0,2,3
2025-03-27,Polo Shirt,Shirts,24,35,155,840,0,3,3
2025-03-28,Polo Shirt,Shirts,23,35,132,805,1,4,3
2025-03-29,Polo Shirt,Shirts,36,35,96,1260,1,5,3
2025-03-30,Polo Shirt,Shirts,38,35,266,1330,1,6,3
2025-03-31,Polo Shirt,Shirts,22,35,244,770,0,0,3
2025-04-01,Polo Shirt,Shirts,22,35,222,770,0,1,4
2025-04-02,Polo Shirt,Shirts,22,35,200,770,0,2,4
2025-04-03,Polo Shirt,Shirts,30,35,170,1050,1,3,4
2025-04-04,Polo Shirt,Shirts,25,35,145,875,0,4,4
2025-04-05,Polo Shirt,Shirts,24,35,121,840,0,5,4
2025-04-06,Polo Shirt,Shirts,24,35,97,840,0,6,4
2025-04-07,Polo Shirt,Shirts,21,35,323,735,0,0,4
2025-04-08,Polo Shirt,Shirts,20,35,303,700,0,1,4
2025-04-09,Polo Shirt,Shirts,23,35,280,805,0,2,4
2025-04-10,Polo Shirt,Shirts,24,35,256,840,0,3,4
2025-04-11,Polo Shirt,Shirts,17,35,239,595,0,4,4
2025-04-12,Polo Shirt,Shirts,25,35,214,875,0,5,4
2025-04-13,Polo Shirt,Shirts,38,35,176,1330,1,6,4
2025-04-14,Polo Shirt,Shirts,21,35,155,735,0,0,4
2025-04-15,Polo Shirt,Shirts,30,35,125,1050,0,1,4
2025-04-16,Polo Shirt,Shirts,22,35,103,770,0,2,4
2025-04-17,Polo Shirt,Shirts,19,35,84,665,0,3,4
2025-04-18,Polo Shirt,Shirts,24,35,308,840,0,4,4
2025-04-19,Polo Shirt,Shirts,27,35,281,945,0,5,4
2025-04-20,Polo Shirt,Shirts,28,35,253,980,0,6,4
2025-04-21,Polo Shirt,Shirts,30,35,223,1050,1,0,4
2025-04-22,Polo Shirt,Shirts,16,35,207,560,0,1,4
2025-04-23,Polo Shirt,Shirts,27,35,180,945,1,2,4
2025-04-24,Polo Shirt,Shirts,20,35,160,700,0,3,4
2025-04-25,Polo Shirt,Shirts,15,35,145,525,0,4,4
2025-04-26,Polo Shirt,Shirts,26,35,119,910,0,5,4
2025-04-27,Polo Shirt,Shirts,29,35,90,1015,0,6,4
2025-04-28,Polo Shirt,Shirts,18,35,398,630,0,0,4
2025-04-29,Polo Shirt,Shirts,23,35,375,805,0,1,4
2025-04-30,Polo Shirt,Shirts,23,35,352,805,0,2,4
2025-05-01,Polo Shirt,Shirts,17,35,335,595,0,3,5
2025-05-02,Polo Shirt,Shirts,19,35,316,665,0,4,5
2025-05-03,Polo Shirt,Shirts,29,35,287,1015,0,5,5
2025-05-04,Polo Shirt,Shirts,39,35,248,1365,0,6,5
2025-05-05,Polo Shirt,Shirts,24,35,224,840,0,0,5
2025-05-06,Polo Shirt,Shirts,30,35,194,1050,1,1,5
2025-05-07,Polo Shirt,Shirts,19,35,175,665,0,2,5
2025-05-08,Polo Shirt,Shirts,21,35,154,735,0,3,5
2025-05-09,Polo Shirt,Shirts,28,35,126,980,0,4,5
